Rank,Publisher
3976,Nippon Ichi Software
3977,Electronic Arts
3978,THQ
3979,Konami Digital Entertainment
3980,Activision
3981,Nintendo
3982,Nintendo
3983,Banpresto
3984,Disney Interactive Studios
3985,Electronic Arts
3986,Activision
3987,Jaleco
3988,Tecmo Koei
3989,ASCII Entertainment
3990,Electronic Arts
3991,LucasArts
3992,Electronic Arts
3993,THQ
3994,Konami Digital Entertainment
3995,Electronic Arts
3996,Take-Two Interactive
3997,Sega
3998,Ubisoft
3999,Capcom
4000,Disney Interactive Studios
4001,Activision
4002,Activision
4003,THQ
4004,Namco Bandai Games
4005,Namco Bandai Games
4006,Activision
4007,Ubisoft
4008,Namco Bandai Games
4009,Sony Computer Entertainment
4010,Eidos Interactive
4011,Activision
4012,Disney Interactive Studios
4013,Infogrames
4014,Bethesda Softworks
4015,Atari
4016,THQ
4017,Atari
4018,Answer Software
4019,Namco Bandai Games
4020,THQ
4021,Namco Bandai Games
4022,Capcom
4023,Sega
4024,Activision
4025,Activision
4026,Sony Computer Entertainment
4027,Activision
4028,Square Enix
4029,Warner Bros. Interactive Entertainment
4030,Atari
4031,Square Enix
4032,Warner Bros. Interactive Entertainment
4033,THQ
4034,Sega
4035,THQ
4036,Electronic Arts
4037,Scholastic Inc.
4038,THQ
4039,Electronic Arts
4040,Square Enix
4041,Electronic Arts
4042,Namco Bandai Games
4043,Nintendo
4044,Vivendi Games
4045,Activision
4046,Nintendo
4047,Electronic Arts
4048,Atari
4049,Activision
4050,Electronic Arts
4051,Bethesda Softworks
4052,Sega
4053,505 Games
4054,Atari
4055,Sony Computer Entertainment
4056,Universal Interactive
4057,Disney Interactive Studios
4058,Warner Bros. Interactive Entertainment
4059,Namco Bandai Games
4060,Atari
4061,Atari
4062,Activision
4063,Sega
4064,City Interactive
4065,Acclaim Entertainment
4066,Midway Games
4067,Codemasters
4068,Namco Bandai Games
4069,XS Games
4070,Fox Interactive
4071,Ubisoft
4072,Ubisoft
4073,Hudson Soft
4074,Nintendo
4075,Namco Bandai Games
4076,THQ
4077,Vivendi Games
4078,Ubisoft
4079,Electronic Arts
4080,Electronic Arts
4081,Ubisoft
4082,Warner Bros. Interactive Entertainment
4083,Sega
4084,Microsoft Game Studios
4085,Electronic Arts
4086,Ubisoft
4087,Activision
4088,Konami Digital Entertainment
4089,Nintendo
4090,Activision
4091,Namco Bandai Games
4092,Electronic Arts
4093,Nintendo
4094,Zoo Digital Publishing
4095,Konami Digital Entertainment
4096,Electronic Arts
4097,Konami Digital Entertainment
4098,Atari
4099,Konami Digital Entertainment
4100,Microsoft Game Studios
4101,D3Publisher
4102,Activision
4103,Atari
4104,THQ
4105,Acclaim Entertainment
4106,System 3 Arcade Software
4107,Electronic Arts
4108,Activision
4109,Activision Blizzard
4110,MTV Games
4111,Capcom
4112,Vivendi Games
4113,Electronic Arts
4114,LucasArts
4115,Take-Two Interactive
4116,Acclaim Entertainment
4117,Pack In Soft
4118,Electronic Arts
4119,THQ
4120,Electronic Arts
4121,Rising Star Games
4122,Activision
4123,Unknown
4124,Sega
4125,Electronic Arts
4126,Electronic Arts
4127,Activision
4128,Microsoft Game Studios
4129,Take-Two Interactive
4130,Nintendo
4131,989 Studios
4132,Activision
4133,Rebellion
4134,Tecmo Koei
4135,Eidos Interactive
4136,Square Enix
4137,Microsoft Game Studios
4138,Electronic Arts
4139,Electronic Arts
4140,THQ
4141,Activision
4142,Xplosiv
4143,Electronic Arts
4144,Ignition Entertainment
4145,THQ
4146,Ubisoft
4147,
4148,Sony Computer Entertainment
4149,Activision
4150,Acclaim Entertainment
4151,Electronic Arts
4152,Nintendo
4153,Ultravision
4154,D3Publisher
4155,Midway Games
4156,Activision
4157,Capcom
4158,Electronic Arts
4159,Electronic Arts
4160,Ubisoft
4161,Electronic Arts
4162,Compile
4163,Midway Games
4164,Konami Digital Entertainment
4165,Namco Bandai Games
4166,Activision
4167,Psygnosis
4168,Sony Computer Entertainment
4169,Konami Digital Entertainment
4170,Electronic Arts
4171,THQ
4172,Square Enix
4173,Empire Interactive
4174,Ubisoft
4175,Warner Bros. Interactive Entertainment
4176,Nintendo
4177,Square Enix
4178,THQ
4179,Microsoft Game Studios
4180,Electronic Arts
4181,Sega
4182,THQ
4183,Sega
4184,Level 5
4185,Activision
4186,Disney Interactive Studios
4187,Midway Games
4188,Nintendo
4189,Titus
4190,Konami Digital Entertainment
4191,Hudson Entertainment
4192,Midway Games
4193,Electronic Arts
4194,Electronic Arts
4195,Tecmo Koei
4196,Activision
4197,Sega
4198,Disney Interactive Studios
4199,Midway Games
4200,Electronic Arts
4201,Electronic Arts
4202,Electronic Arts
4203,Electronic Arts
4204,Codemasters
4205,Activision
4206,Take-Two Interactive
4207,Hudson Soft
4208,Konami Digital Entertainment
4209,Electronic Arts
4210,THQ
4211,Codemasters
4212,Electronic Arts
4213,Disney Interactive Studios
4214,Activision
4215,Level 5
4216,Electronic Arts
4217,Nordic Games
4218,Ubisoft
4219,THQ
4220,Capcom
4221,Ignition Entertainment
4222,Atari
4223,Nintendo
4224,Konami Digital Entertainment
4225,Ubisoft
4226,Activision
4227,Konami Digital Entertainment
4228,Vivendi Games
4229,THQ
4230,THQ
4231,Nintendo
4232,THQ
4233,Infogrames
4234,Atari
4235,GameMill Entertainment
4236,Ubisoft
4237,Vivendi Games
4238,Warner Bros. Interactive Entertainment
4239,Disney Interactive Studios
4240,Wanadoo
4241,Sony Computer Entertainment
4242,Namco Bandai Games
4243,THQ
4244,Namco Bandai Games
4245,Activision
4246,Bethesda Softworks
4247,THQ
4248,THQ
4249,Nintendo
4250,Take-Two Interactive
4251,Sony Computer Entertainment
4252,Take-Two Interactive
4253,Sony Computer Entertainment
4254,Ubisoft
4255,Konami Digital Entertainment
4256,Activision
4257,Atari
4258,THQ
4259,Vivendi Games
4260,Midway Games
4261,Ubisoft
4262,THQ
4263,Nintendo
4264,Sony Computer Entertainment
4265,Activision
4266,Ubisoft
4267,Sega
4268,Electronic Arts
4269,Atari
4270,Sony Computer Entertainment
4271,Sony Computer Entertainment
4272,THQ
4273,Vivendi Games
4274,LucasArts
4275,Koch Media
4276,Sega
4277,Electronic Arts
4278,Warner Bros. Interactive Entertainment
4279,Warner Bros. Interactive Entertainment
4280,THQ
4281,Sony Computer Entertainment
4282,Hudson Soft
4283,Electronic Arts
4284,Eidos Interactive
4285,Activision
4286,Sega
4287,Activision
4288,Warner Bros. Interactive Entertainment
4289,Namco Bandai Games
4290,Virgin Interactive
4291,NovaLogic
4292,Electronic Arts
4293,Electronic Arts
4294,Ubisoft
4295,Taito
4296,Atari
4297,Ubisoft
4298,Nintendo
4299,Tecmo Koei
4300,Activision
4301,Nintendo
4302,Electronic Arts
4303,Microsoft Game Studios
4304,Disney Interactive Studios
4305,Sony Computer Entertainment
4306,Disney Interactive Studios
4307,THQ
4308,Sony Computer Entertainment
4309,Nippon Ichi Software
4310,Namco Bandai Games
4311,Square Enix
4312,Ubisoft Annecy
4313,THQ
4314,Namco Bandai Games
4315,Atari
4316,Warner Bros. Interactive Entertainment
4317,Activision
4318,Konami Digital Entertainment
4319,Telltale Games
4320,Konami Digital Entertainment
4321,Atari
4322,Vivendi Games
4323,Electronic Arts
4324,Epoch
4325,Majesco Entertainment
4326,Infogrames
4327,Activision
4328,BAM! Entertainment
4329,Sony Computer Entertainment
4330,Take-Two Interactive
4331,Ubisoft Annecy
4332,Vivendi Games
4333,Ubisoft
4334,Electronic Arts
4335,Ubisoft
4336,Konami Digital Entertainment
4337,Take-Two Interactive
4338,Activision
4339,Activision
4340,989 Studios
4341,Midway Games
4342,Namco Bandai Games
4343,Sega
4344,Electronic Arts
4345,Midway Games
4346,Activision
4347,LucasArts
4348,Atari
4349,Activision
4350,Warner Bros. Interactive Entertainment
4351,Ubisoft
4352,Electronic Arts
4353,MTV Games
4354,Konami Digital Entertainment
4355,Activision
4356,Activision
4357,Konami Digital Entertainment
4358,Konami Digital Entertainment
4359,Sony Computer Entertainment
4360,Namco Bandai Games
4361,Nintendo
4362,Konami Digital Entertainment
4363,Namco Bandai Games
4364,THQ
4365,Takara
4366,GT Interactive
4367,Nintendo
4368,Atari
4369,Konami Digital Entertainment
4370,Electronic Arts
4371,Ubisoft
4372,Activision
4373,Infogrames
4374,Tecmo Koei
4375,Atlus
4376,Activision
4377,Namco Bandai Games
4378,THQ
4379,Sega
4380,Atari
4381,Namco Bandai Games
4382,Konami Digital Entertainment
4383,Sony Computer Entertainment
4384,Sony Computer Entertainment
4385,Square
4386,Disney Interactive Studios
4387,Electronic Arts
4388,Tecmo Koei
4389,Activision
4390,Sony Computer Entertainment
4391,THQ
4392,505 Games
4393,THQ
4394,Electronic Arts
4395,Atari
4396,THQ
4397,Square Enix
4398,Acclaim Entertainment
4399,Eidos Interactive
4400,Electronic Arts
4401,Konami Digital Entertainment
4402,Nintendo
4403,Electronic Arts
4404,Tigervision
4405,THQ
4406,Nintendo
4407,Vivendi Games
4408,Konami Digital Entertainment
4409,505 Games
4410,Ubisoft
4411,Konami Digital Entertainment
4412,505 Games
4413,Spike
4414,Sony Computer Entertainment
4415,Konami Digital Entertainment
4416,Electronic Arts
4417,Konami Digital Entertainment
4418,THQ
4419,Disney Interactive Studios
4420,Warner Bros. Interactive Entertainment
4421,Vivendi Games
4422,Disney Interactive Studios
4423,Activision
4424,Activision
4425,Namco Bandai Games
4426,Activision
4427,Deep Silver
4428,Electronic Arts
4429,Electronic Arts
4430,Electronic Arts
4431,Capcom
4432,Electronic Arts
4433,Namco Bandai Games
4434,Electronic Arts
4435,Electronic Arts
4436,Disney Interactive Studios
4437,D3Publisher
4438,Vivendi Games
4439,Nintendo
4440,Fox Interactive
4441,Electronic Arts
4442,SquareSoft
4443,Tecmo Koei
4444,Ubisoft
4445,LucasArts
4446,Ubisoft
4447,Ubisoft
4448,Take-Two Interactive
4449,Namco Bandai Games
4450,Namco Bandai Games
4451,Crystal Dynamics
4452,Hudson Soft
4453,Hudson Soft
4454,GT Interactive
4455,Nintendo
4456,Knowledge Adventure
4457,505 Games
4458,THQ
4459,Banpresto
4460,3DO
4461,Ubisoft
4462,Activision
4463,Konami Digital Entertainment
4464,THQ
4465,Konami Digital Entertainment
4466,Sony Computer Entertainment
4467,Tomy Corporation
4468,THQ
4469,Nintendo
4470,THQ
4471,Atari
4472,Namco Bandai Games
4473,Mastiff
4474,Vivendi Games
4475,Ubisoft
4476,Eidos Interactive
4477,Majesco Entertainment
4478,Capcom
4479,Nintendo
4480,THQ
4481,Atari
4482,Sony Computer Entertainment
4483,Sega
4484,THQ
4485,Namco Bandai Games
4486,Konami Digital Entertainment
4487,Midway Games
4488,Ubisoft
4489,THQ
4490,Atari
4491,Nintendo
4492,Activision
4493,Mastiff
4494,Nintendo
4495,Sega
4496,Tetris Online
4497,Take-Two Interactive
4498,Sony Computer Entertainment
4499,Electronic Arts
4500,Electronic Arts
4501,Activision
4502,Take-Two Interactive
4503,Electronic Arts
4504,THQ
4505,Electronic Arts
4506,Disney Interactive Studios
4507,Ubisoft
4508,THQ
4509,Sega
4510,Electronic Arts
4511,Activision
4512,Harmonix Music Systems
4513,Electronic Arts
4514,Electronic Arts
4515,Microsoft Game Studios
4516,Sony Computer Entertainment
4517,Square Enix
4518,Eidos Interactive
4519,Activision
4520,Namco Bandai Games
4521,Rising Star Games
4522,BAM! Entertainment
4523,Capcom
4524,Enix Corporation
4525,Electronic Arts
4526,Nippon Ichi Software
4527,Take-Two Interactive
4528,
4529,Atari
4530,Interplay
4531,Activision
4532,Electronic Arts
4533,Midway Games
4534,Nintendo
4535,Take-Two Interactive
4536,Ubisoft
4537,Konami Digital Entertainment
4538,Unknown
4539,Sony Computer Entertainment
4540,Electronic Arts
4541,Sony Online Entertainment
4542,Sony Computer Entertainment
4543,ChunSoft
4544,Namco Bandai Games
4545,Konami Digital Entertainment
4546,Electronic Arts
4547,Ubisoft
4548,Electronic Arts
4549,Square Enix
4550,Microsoft Game Studios
4551,Warner Bros. Interactive Entertainment
4552,Electronic Arts
4553,Electronic Arts
4554,Disney Interactive Studios
4555,Atari
4556,Activision
4557,Disney Interactive Studios
4558,Midway Games
4559,Activision
4560,Ubisoft
4561,Ubisoft
4562,Activision
4563,989 Studios
4564,Activision
4565,Sega
4566,Disney Interactive Studios
4567,THQ
4568,D3Publisher
4569,Sega
4570,Banpresto
4571,Electronic Arts
4572,D3Publisher
4573,D3Publisher
4574,Square Enix
4575,Vivendi Games
4576,Capcom
4577,Warner Bros. Interactive Entertainment
4578,Eidos Interactive
4579,Take-Two Interactive
4580,Electronic Arts
4581,Electronic Arts
4582,Activision
4583,Sony Computer Entertainment
4584,Sony Computer Entertainment
4585,Namco Bandai Games
4586,Psygnosis
4587,Rising Star Games
4588,Activision
4589,Take-Two Interactive
4590,Nintendo
4591,Vivendi Games
4592,Electronic Arts
4593,Konami Digital Entertainment
4594,Psygnosis
4595,Acclaim Entertainment
4596,Gotham Games
4597,GungHo
4598,Electronic Arts
4599,Ubisoft
4600,THQ
4601,Electronic Arts
4602,ESP
4603,Global Star
4604,Konami Digital Entertainment
4605,THQ
4606,THQ
4607,Atari
4608,Sega
4609,Zoo Digital Publishing
4610,Sega
4611,Ubisoft
4612,THQ
4613,Activision
4614,TYO
4615,Electronic Arts
4616,Sony Computer Entertainment
4617,Telegames
4618,Namco Bandai Games
4619,Atari
4620,Konami Digital Entertainment
4621,Capcom
4622,THQ
4623,Midway Games
4624,Midway Games
4625,Nintendo
4626,Konami Digital Entertainment
4627,3DO
4628,Electronic Arts
4629,MTV Games
4630,Bethesda Softworks
4631,Sony Computer Entertainment
4632,Disney Interactive Studios
4633,Konami Digital Entertainment
4634,Capcom
4635,Ubisoft
4636,Namco Bandai Games
4637,
4638,Activision
4639,Namco Bandai Games
4640,Electronic Arts
4641,Knowledge Adventure
4642,LucasArts
4643,Ubisoft
4644,Sega
4645,Capcom
4646,Activision
4647,Universal Interactive
4648,Sega
4649,Konami Digital Entertainment
4650,Ubisoft
4651,Rising Star Games
4652,Konami Digital Entertainment
4653,THQ
4654,Electronic Arts
4655,Nintendo
4656,THQ
4657,LucasArts
4658,Take-Two Interactive
4659,Nintendo
4660,Nintendo
4661,Electronic Arts
4662,Namco Bandai Games
4663,THQ
4664,Electronic Arts
4665,Sega
4666,Disney Interactive Studios
4667,Capcom
4668,Capcom
4669,Mud Duck Productions
4670,Konami Digital Entertainment
4671,Midway Games
4672,Sega
4673,Namco Bandai Games
4674,LucasArts
4675,Vivendi Games
4676,Acclaim Entertainment
4677,Konami Digital Entertainment
4678,Atari
4679,Screenlife
4680,Sony Computer Entertainment
4681,BAM! Entertainment
4682,Sony Computer Entertainment
4683,Ubisoft
4684,Nippon Ichi Software
4685,Unknown
4686,Eidos Interactive
4687,Konami Digital Entertainment
4688,Sega
4689,Activision
4690,Vivendi Games
4691,Take-Two Interactive
4692,THQ
4693,Sony Computer Entertainment
4694,Hasbro Interactive
4695,Ubisoft
4696,Namco Bandai Games
4697,Sony Computer Entertainment
4698,Take-Two Interactive
4699,Konami Digital Entertainment
4700,Activision
4701,Namco Bandai Games
4702,Electronic Arts
4703,Activision
4704,Bethesda Softworks
4705,THQ
4706,Koch Media
4707,THQ
4708,Square Enix
4709,Konami Digital Entertainment
4710,PQube
4711,Activision
4712,Warner Bros. Interactive Entertainment
4713,Sega
4714,THQ
4715,Ubisoft
4716,Electronic Arts
4717,Electronic Arts
4718,Pioneer LDC
4719,Warner Bros. Interactive Entertainment
4720,Hudson Soft
4721,THQ
4722,Activision
4723,Sony Computer Entertainment
4724,THQ
4725,THQ
4726,THQ
4727,Virgin Interactive
4728,LucasArts
4729,Namco Bandai Games
4730,Nintendo
4731,Titus
4732,Electronic Arts
4733,Atari
4734,Warner Bros. Interactive Entertainment
4735,Sony Computer Entertainment
4736,Sony Computer Entertainment
4737,Zoo Games
4738,RTL
4739,MTV Games
4740,Taito
4741,Activision
4742,Activision
4743,THQ
4744,Electronic Arts
4745,Activision
4746,Nintendo
4747,Rising Star Games
4748,Electronic Arts
4749,Metro 3D
4750,Sony Computer Entertainment
4751,Midway Games
4752,Activision
4753,Take-Two Interactive
4754,Namco Bandai Games
4755,Empire Interactive
4756,Magical Company
4757,Take-Two Interactive
4758,Konami Digital Entertainment
4759,Warner Bros. Interactive Entertainment
4760,505 Games
4761,Electronic Arts
4762,Midway Games
4763,Ubisoft
4764,Take-Two Interactive
4765,Sega
4766,Activision
4767,Nintendo
4768,Midway Games
4769,Konami Digital Entertainment
4770,Ubisoft
4771,Take-Two Interactive
4772,Microsoft Game Studios
4773,Electronic Arts
4774,Electronic Arts
4775,Electronic Arts
4776,Capcom
4777,Ubisoft
4778,Mentor Interactive
4779,Activision
4780,Sony Computer Entertainment
4781,Sony Computer Entertainment
4782,Atari
4783,Disney Interactive Studios
4784,Nintendo
4785,Ubisoft
4786,Coleco
4787,Sega
4788,Sega
4789,Codemasters
4790,THQ
4791,Activision
4792,Sega
4793,Warner Bros. Interactive Entertainment
4794,Square Enix
4795,THQ
4796,Imagineer
4797,Take-Two Interactive
4798,Midway Games
4799,Unknown
4800,Activision
4801,Namco Bandai Games
4802,Square Enix
4803,Sega
4804,Midway Games
4805,Electronic Arts
4806,Nintendo
4807,Konami Digital Entertainment
4808,Tecmo Koei
4809,THQ
4810,Disney Interactive Studios
4811,THQ
4812,Sony Computer Entertainment
4813,Nintendo
4814,989 Studios
4815,THQ
4816,Ubisoft
4817,Takara
4818,Electronic Arts
4819,Ubisoft
4820,Square Enix
4821,Activision Value
4822,Electronic Arts
4823,Sega
4824,989 Studios
4825,Sega
4826,Vivendi Games
4827,Namco Bandai Games
4828,Nintendo
4829,Kemco
4830,Acclaim Entertainment
4831,Midway Games
4832,Acclaim Entertainment
4833,Atari
4834,Infogrames
4835,Electronic Arts
4836,Focus Home Interactive
4837,Activision
4838,Sony Computer Entertainment
4839,LucasArts
4840,505 Games
4841,Take-Two Interactive
4842,THQ
4843,THQ
4844,THQ
4845,Midway Games
4846,Sega
4847,Electronic Arts
4848,Electronic Arts
4849,Nintendo
4850,THQ
4851,Eidos Interactive
4852,Activision
4853,THQ
4854,Nintendo
4855,Eidos Interactive
4856,Vivendi Games
4857,ChunSoft
4858,Sega
4859,Sega
4860,Konami Digital Entertainment
4861,Activision
4862,Electronic Arts
4863,Sony Computer Entertainment
4864,Namco Bandai Games
4865,Sony Computer Entertainment
4866,Virgin Interactive
4867,Unknown
4868,Electronic Arts
4869,Electronic Arts
4870,Namco Bandai Games
4871,Activision
4872,Warner Bros. Interactive Entertainment
4873,D3Publisher
4874,Square Enix
4875,Eidos Interactive
4876,Namco Bandai Games
4877,Sega
4878,Jester Interactive
4879,Konami Digital Entertainment
4880,Ubisoft
4881,Take-Two Interactive
4882,Activision
4883,Codemasters
4884,Warner Bros. Interactive Entertainment
4885,THQ
4886,Activision
4887,Electronic Arts
4888,Take-Two Interactive
4889,Square Enix
4890,Sega
4891,505 Games
4892,Activision
4893,Level 5
4894,Hasbro Interactive
4895,Virgin Interactive
4896,Mattel Interactive
4897,Namco Bandai Games
4898,THQ
4899,Tomy Corporation
4900,Electronic Arts
4901,LucasArts
4902,Sega
4903,Rising Star Games
4904,Nintendo
4905,THQ
4906,Electronic Arts
4907,Ubisoft
4908,Take-Two Interactive
4909,Electronic Arts
4910,Activision
4911,Activision
4912,Sony Computer Entertainment
4913,Take-Two Interactive
4914,THQ
4915,Nintendo
4916,Ubisoft
4917,Konami Digital Entertainment
4918,Enterbrain
4919,Namco Bandai Games
4920,THQ
4921,Sony Computer Entertainment
4922,Electronic Arts
4923,Nintendo
4924,Nintendo
4925,Electronic Arts
4926,Ubisoft
4927,Namco Bandai Games
4928,Microsoft Game Studios
4929,Electronic Arts
4930,Sony Computer Entertainment
4931,Electronic Arts
4932,Acclaim Entertainment
4933,Nintendo
4934,Acclaim Entertainment
4935,3DO
4936,Vivendi Games
4937,Nintendo
4938,Ubisoft
4939,Sony Computer Entertainment
4940,Activision
4941,Ubisoft
4942,Eidos Interactive
4943,Warner Bros. Interactive Entertainment
4944,Activision
4945,Ubisoft
4946,Human Entertainment
4947,Activision
4948,Activision
4949,THQ
4950,Capcom
4951,Ubisoft
4952,Ubisoft
4953,Electronic Arts
4954,Takara
4955,Focus Home Interactive
4956,Banpresto
4957,Ubisoft
4958,Electronic Arts
4959,Electronic Arts
4960,Vivendi Games
4961,Sony Computer Entertainment America
4962,Namco Bandai Games
4963,Capcom
4964,Ubisoft
4965,Avanquest
4966,505 Games
4967,Electronic Arts
4968,Konami Digital Entertainment
4969,Data Age
4970,Konami Digital Entertainment
4971,Tecmo Koei
4972,Eidos Interactive
4973,Activision
4974,Nordic Games
4975,Electronic Arts
4976,Ubisoft
4977,Deep Silver
4978,THQ
4979,Namco Bandai Games
4980,Sega
4981,Electronic Arts Victor
4982,Sega
4983,Nintendo
4984,Ghostlight
4985,Nintendo
4986,GT Interactive
4987,Nippon Ichi Software
4988,Human Entertainment
4989,Ubisoft
4990,Sega
4991,Warner Bros. Interactive Entertainment
4992,Activision Value
4993,Rising Star Games
4994,Namco Bandai Games
4995,Warner Bros. Interactive Entertainment
4996,Disney Interactive Studios
4997,Pinnacle
4998,Namco Bandai Games
4999,Black Bean Games
5000,Jack of All Games
5001,Namco Bandai Games
5002,Sony Computer Entertainment
5003,Acclaim Entertainment
5004,Activision
5005,Atari
5006,Namco Bandai Games
5007,Ubisoft
5008,Sega
5009,Sega
5010,Electronic Arts
5011,Atlus
5012,Ubisoft
5013,Electronic Arts
5014,Electronic Arts
5015,Electronic Arts
5016,Sony Computer Entertainment
5017,Microsoft Game Studios
5018,Codemasters
5019,Eidos Interactive
5020,Namco Bandai Games
5021,THQ
5022,Empire Interactive
5023,Capcom
5024,Electronic Arts
5025,Electronic Arts
5026,Namco Bandai Games
5027,Disney Interactive Studios
5028,Konami Digital Entertainment
5029,Atari
5030,Nintendo
5031,Take-Two Interactive
5032,Namco Bandai Games
5033,Enix Corporation
5034,Konami Digital Entertainment
5035,SquareSoft
5036,Sega
5037,Take-Two Interactive
5038,Sega
5039,Electronic Arts
5040,Activision
5041,Electronic Arts
5042,Sega
5043,Codemasters
5044,Konami Digital Entertainment
5045,Sony Computer Entertainment
5046,Activision
5047,Interplay
5048,THQ
5049,GT Interactive
5050,Banpresto
5051,Electronic Arts
5052,Nintendo
5053,Namco Bandai Games
5054,Atlus
5055,Sony Computer Entertainment
5056,989 Sports
5057,Warner Bros. Interactive Entertainment
5058,Electronic Arts
5059,THQ
5060,Ubisoft
5061,Activision
5062,Activision
5063,Atari
5064,Ubisoft
5065,MTV Games
5066,Atari
5067,Activision
5068,Tecmo Koei
5069,Sony Computer Entertainment
5070,Konami Digital Entertainment
5071,Namco Bandai Games
5072,THQ
5073,Electronic Arts
5074,Vivendi Games
5075,Konami Digital Entertainment
5076,Ghostlight
5077,Namco Bandai Games
5078,THQ
5079,Sega
5080,Sega
5081,Electronic Arts
5082,Activision
5083,Ubisoft
5084,Atari
5085,Ubisoft
5086,Atari
5087,THQ
5088,Ubisoft
5089,Sega
5090,Takara Tomy
5091,Konami Digital Entertainment
5092,Vivendi Games
5093,SquareSoft
5094,Scholastic Inc.
5095,Electronic Arts
5096,Electronic Arts
5097,Activision
5098,Square Enix
5099,Microsoft Game Studios
5100,Microsoft Game Studios
5101,Take-Two Interactive
5102,Spike
5103,Sony Computer Entertainment
5104,Ubisoft
5105,Eidos Interactive
5106,Ubisoft
5107,Sega
5108,Ubisoft
5109,Warner Bros. Interactive Entertainment
5110,THQ
5111,Natsume
5112,Activision
5113,Ubisoft
5114,Midway Games
5115,3DO
5116,Electronic Arts
5117,Human Entertainment
5118,Sega
5119,Electronic Arts
5120,Bethesda Softworks
5121,Activision
5122,Sony Computer Entertainment
5123,Square Enix
5124,THQ
5125,Destineer
5126,ChunSoft
5127,Acclaim Entertainment
5128,THQ
5129,Imagic
5130,Nintendo
5131,Electronic Arts
5132,Electronic Arts
5133,Electronic Arts
5134,Sega
5135,Nintendo
5136,Namco Bandai Games
5137,Knowledge Adventure
5138,Capcom
5139,Warner Bros. Interactive Entertainment
5140,Square Enix
5141,Bethesda Softworks
5142,Activision
5143,Electronic Arts
5144,Banpresto
5145,Electronic Arts
5146,Konami Digital Entertainment
5147,Square Enix
5148,Nintendo
5149,Atlus
5150,Namco Bandai Games
5151,Game Factory
5152,Take-Two Interactive
5153,Electronic Arts
5154,Sega
5155,Activision
5156,ASCII Entertainment
5157,Activision
5158,Warner Bros. Interactive Entertainment
5159,Harmonix Music Systems
5160,Valve Software
5161,Electronic Arts
5162,Electronic Arts
5163,Disney Interactive Studios
5164,Electronic Arts
5165,Activision
5166,Atari
5167,Electronic Arts
5168,Media Rings
5169,Namco Bandai Games
5170,Elf
5171,Ubisoft
5172,Konami Digital Entertainment
5173,Unknown
5174,Capcom
5175,Human Entertainment
5176,Namco Bandai Games
5177,ChunSoft
5178,3DO
5179,Vivendi Games
5180,Midway Games
5181,Namco Bandai Games
5182,Square Enix
5183,Electronic Arts
5184,Deep Silver
5185,Electronic Arts
5186,Sony Computer Entertainment
5187,Tecmo Koei
5188,THQ
5189,Activision
5190,PQube
5191,Activision
5192,D3Publisher
5193,Nintendo
5194,Sony Computer Entertainment
5195,Ubisoft
5196,Namco Bandai Games
5197,Unknown
5198,Kalypso Media
5199,Warner Bros. Interactive Entertainment
5200,Take-Two Interactive
5201,Ubisoft
5202,Nintendo
5203,Starfish
5204,Sony Computer Entertainment
5205,Take-Two Interactive
5206,Ocean
5207,Konami Digital Entertainment
5208,Nintendo
5209,THQ
5210,Marvelous Entertainment
5211,Zushi Games
5212,Activision
5213,Activision
5214,Activision
5215,Bethesda Softworks
5216,Microsoft Game Studios
5217,Warner Bros. Interactive Entertainment
5218,Jorudan
5219,Laguna
5220,Activision
5221,LEGO Media
5222,Take-Two Interactive
5223,Ubisoft
5224,Microsoft Game Studios
5225,Sega
5226,"Destination Software, Inc"
5227,Atari
5228,Ubisoft
5229,THQ
5230,Zoo Digital Publishing
5231,Sega
5232,Capcom
5233,Activision
5234,Namco Bandai Games
5235,THQ
5236,Take-Two Interactive
5237,Sony Computer Entertainment
5238,Konami Digital Entertainment
5239,Sega
5240,Mindscape
5241,Banpresto
5242,Square Enix
5243,Zoo Digital Publishing
5244,THQ
5245,Trion Worlds
5246,Nordic Games
5247,New
5248,Mattel Interactive
5249,Konami Digital Entertainment
5250,Electronic Arts
5251,Electronic Arts
5252,Namco Bandai Games
5253,Acclaim Entertainment
5254,Konami Digital Entertainment
5255,Electronic Arts
5256,Capcom
5257,Midway Games
5258,Electronic Arts
5259,Take-Two Interactive
5260,Sega
5261,Sega
5262,Take-Two Interactive
5263,Psygnosis
5264,TDK Mediactive
5265,Ubisoft
5266,Sony Computer Entertainment
5267,Sony Computer Entertainment
5268,Nintendo
5269,Atari
5270,Namco Bandai Games
5271,Zoo Digital Publishing
5272,THQ
5273,Konami Digital Entertainment
5274,Nintendo
5275,Capcom
5276,Nintendo
5277,Global Star
5278,THQ
5279,Namco Bandai Games
5280,Sega
5281,Hudson Soft
5282,Eidos Interactive
5283,Namco Bandai Games
5284,Ubisoft
5285,Activision
5286,Zoo Digital Publishing
5287,Warner Bros. Interactive Entertainment
5288,Konami Digital Entertainment
5289,Nintendo
5290,Nintendo
5291,Laguna
5292,Eidos Interactive
5293,Nintendo
5294,Virgin Interactive
5295,THQ
5296,Atlus
5297,THQ
5298,Namco Bandai Games
5299,Namco Bandai Games
5300,Konami Digital Entertainment
5301,Electronic Arts
5302,Disney Interactive Studios
5303,Activision
5304,
5305,Capcom
5306,Konami Digital Entertainment
5307,City Interactive
5308,Ubisoft
5309,Electronic Arts
5310,Square Enix
